Rank,FeatureClass,FeatureName,Feature,ROI0_StabilityScore,ROI0_NumberOfVoxels,ROI0_Mean,ROI0_Median,ROI0_Variance,ROI0_StandardDeviation,ROI0_CoefficientOfVariation,ROI0_MAD,ROI0_IQR,ROI0_Minimum,ROI0_Maximum,ROI0_P05,ROI0_P95
51,glszm,SizeZoneNonUniformity,glszm.SizeZoneNonUniformity,0.5553274682306941,318,8.031558849955076,9.0,2.044126597278993,1.4297295538943695,0.17801395477571166,0.0,2.0,4.0,9.0,5.0,9.0
52,gldm,LowGrayLevelEmphasis,gldm.LowGrayLevelEmphasis,0.5530465949820788,318,0.00587878586632923,5.767467828501014e-05,0.0008018973299257617,0.02831779175581602,4.816945607426575,5.0634936723781716e-05,0.0005652641612164822,4.434070666365907e-06,0.2728667096049676,6.2171942404746966e-06,0.03213373634428325
53,gldm,DependenceNonUniformity,gldm.DependenceNonUniformity,0.5491365265558814,318,8.013626834381553,9.0,2.1160656221962095,1.4546702795466089,0.1815245842625853,0.0,2.0,4.0,9.0,5.0,9.0
54,gldm,SmallDependenceLowGrayLevelEmphasis,gldm.SmallDependenceLowGrayLevelEmphasis,0.5387748452264581,318,0.00587869733491543,5.767467828501014e-05,0.0008018983689865063,0.028317810102239657,4.817021270010158,5.081934505574391e-05,0.0005652641612164822,4.103479461868144e-06,0.2728667096049676,6.030103377429927e-06,0.03213373634428325
55,ngtdm,Busyness,ngtdm.Busyness,0.5328771586836102,318,0.09586975814258124,0.07417824958549141,0.0032049528832907253,0.0566123032855114,0.5905126327878639,0.017506677804686347,0.04570533302588125,0.04345922276956759,0.45542635658914726,0.053133066811317714,0.20322759581688135
56,glcm,InverseVariance,glcm.InverseVariance,0.5274682306940371,318,0.021174930810384494,0.003901772305003934,0.0014285008115521227,0.03779551311402086,1.7849179037451868,0.003170254989026215,0.019919039515478323,3.697148528252498e-05,0.253823722914531,0.00028152718238888324,0.09696812182242114
57,firstorder,Kurtosis,firstorder.Kurtosis,0.47663734115347023,318,2.1319248910229907,2.0077649214328153,0.31746260027584383,0.5634381956131869,0.26428613783988636,0.3126210191239791,0.6304232260652742,1.1287082610675736,3.9778608132643294,1.3907233683091929,3.273340635026189
58,glcm,DifferenceAverage,glcm.DifferenceAverage,0.41192570869990225,318,72.82568134171908,66.08333333333333,1715.606587993825,41.41988155456055,0.5687537801425644,23.010416666666668,46.25520833333333,12.333333333333332,243.52083333333331,25.11875,148.40624999999994
59,glcm,JointAverage,glcm.JointAverage,0.4070707070707071,318,220.75119234800837,203.84375,15695.287104252056,125.28083294842854,0.5675205266883753,101.20104166666667,206.00104166666665,8.666666666666666,496.42708333333337,43.876875000000005,432.39218749999986
60,glcm,SumAverage,glcm.SumAverage,0.39090909090909093,318,441.5023846960167,407.6875,62781.14841700821,250.56166589685705,0.5675205266883753,202.40208333333334,412.0020833333333,17.333333333333332,992.8541666666666,87.75375000000001,864.7843749999996
